latitude,longitude
46.123,20.252
46.125,20.240
46.133,20.242
46.135,20.233
46.129,20.230
46.136,20.210
46.144,20.208
46.151,20.196
46.154,20.187
46.154,20.180
46.143,20.144
46.144,20.137
46.150,20.132
46.152,20.126
46.163,20.107
46.171,20.104
46.174,20.107
46.177,20.102
46.177,20.096
46.144,20.064
46.147,20.062
46.148,20.058
46.145,20.042
46.145,20.036
46.147,20.033
46.173,20.023
46.176,20.016
46.176,19.937
46.164,19.915
46.153,19.878
46.150,19.854
46.141,19.845
46.128,19.817
46.135,19.802
46.140,19.797
46.139,19.792
46.144,19.781
46.144,19.772
46.148,19.758
46.166,19.740
46.169,19.733
46.168,19.727
46.172,19.718
46.175,19.718
46.187,19.699
46.182,19.691
46.175,19.680
46.194,19.670
46.184,19.649
46.182,19.640
46.170,19.631
46.179,19.567
46.174,19.560
46.170,19.562
46.168,19.558
46.166,19.560
46.148,19.526
46.152,19.517
46.142,19.503
46.138,19.509
46.134,19.508
46.121,19.526
46.111,19.509
46.104,19.486
46.105,19.484
46.105,19.482
46.102,19.480
46.097,19.470
46.096,19.466
46.082,19.467
46.067,19.439
46.055,19.423
46.046,19.415
46.043,19.396
46.036,19.380
46.052,19.364
46.043,19.351
46.033,19.329
46.014,19.282
46.008,19.293
46.003,19.307
46.002,19.291
45.996,19.283
46.002,19.262
46.004,19.166
46.008,19.158
46.007,19.145
46.023,19.136
46.037,19.133
46.038,19.113
46.040,19.105
46.000,19.065
45.997,19.070
45.984,19.079
45.976,19.081
45.969,19.085
45.968,19.058
45.966,19.055
45.963,19.018
45.959,19.006
45.929,19.022
45.929,19.006
45.930,19.005
45.938,18.999
45.934,18.984
45.930,18.974
45.933,18.950
45.930,18.934
45.935,18.906
45.928,18.884
45.924,18.891
45.921,18.895
45.913,18.907
45.911,18.908
45.908,18.907
45.908,18.898
45.901,18.875
45.896,18.870
45.894,18.870
45.888,18.875
45.887,18.877
45.876,18.898
45.874,18.900
45.872,18.904
45.869,18.906
45.865,18.904
45.864,18.901
45.862,18.897
45.859,18.891
45.858,18.882
45.859,18.870
45.862,18.863
45.858,18.858
45.848,18.860
45.842,18.862
45.833,18.860
45.830,18.855
45.816,18.841
45.813,18.842
45.814,18.849
45.812,18.852
45.809,18.849
45.808,18.853
45.809,18.856
45.806,18.860
45.808,18.876
45.813,18.881
45.819,18.881
45.826,18.889
45.826,18.895
45.821,18.915
45.818,18.920
45.803,18.927
45.787,18.921
45.784,18.921
45.781,18.924
45.779,18.923
45.772,18.909
45.771,18.900
45.775,18.894
45.778,18.893
45.784,18.881
45.784,18.872
45.780,18.862
45.775,18.853
45.772,18.851
45.769,18.852
45.766,18.855
45.762,18.860
45.755,18.885
45.746,18.905
45.745,18.911
45.745,18.918
45.748,18.927
45.756,18.939
45.760,18.947
45.762,18.948
45.767,18.956
45.767,18.963
45.766,18.968
45.763,18.971
45.760,18.972
45.751,18.971
45.748,18.978
45.740,18.979
