code,latitude,longitude,frequency
GE,41.500,19.700,290.086
OEX,48.100,16.700,408.002
TOT,46.900,15.800,426.120
TEM,46.900,15.500,290.381
FGR,48.200,16.200,293.746
NF,43.800,18.300,381.008
OYX,45.100,17.300,340.029
QAP,43.100,17.800,425.002
TNP,43.100,18.600,370.121
VY,43.800,18.300,405.831
XT,43.900,18.200,358.484
YH,45.000,17.300,397.012
ZN,43.200,17.900,355.225
AN,44.900,17.300,383.191
CF,44.500,18.700,320.301
FNE,43.900,18.500,375.792
GH,44.500,18.500,445.926
OBM,42.800,23.200,312.446
TBE,43.100,25.800,305.023
TEA,43.200,25.600,284.646
C,42.100,24.900,537.539
CQI,42.000,24.900,450.764
JNX,42.600,23.700,490.109
OB,44.200,15.300,385.599
OEM,45.400,14.300,400.430
PR,45.500,18.600,372.333
PER,44.900,14.400,433.392
PI,42.600,18.200,397.959
QIA,43.400,16.100,418.131
TE,42.500,18.300,414.502
UHZ,43.300,16.700,412.380
XYC,42.700,18.000,318.078
XB,45.300,14.400,438.086
YBF,44.500,14.500,429.173
BFW,45.500,18.800,422.833
CVF,45.600,15.800,424.173
EV,45.100,14.700,289.038
FNY,43.900,15.200,421.063
FX,45.800,16.200,350.128
GAW,45.200,15.400,316.002
GEV,43.500,16.200,378.482
IT,45.700,16.000,325.326
MNT,45.900,16.300,367.014
MX,44.100,15.400,348.178
MEN,44.000,15.500,330.530
SVF,41.100,23.000,314.898
TQN,40.600,22.500,394.734
XFB,40.400,21.300,372.373
N,47.500,19.200,343.813
N,47.100,20.200,422.515
NB,47.100,20.200,282.430
OP,46.700,21.200,400.537
OXF,46.800,21.100,374.568
OHT,46.700,19.700,430.001
P,47.500,21.600,326.309
P,47.400,17.500,493.018
PC,47.400,17.500,318.182
QP,47.500,21.600,295.001
RA,47.500,21.700,383.262
TLE,47.700,17.700,354.242
WOE,47.500,19.900,517.949
Y,47.500,19.200,357.434
Z,47.400,19.300,403.028
ZAE,47.300,19.400,288.519
A,46.900,19.700,440.817
AG,46.900,19.700,313.006
AL,47.900,21.700,330.277
B,47.100,20.200,422.152
BN,47.200,20.300,282.034
C,48.000,21.700,522.104
C,47.300,17.500,493.244
CP,47.300,17.500,318.215
CC,46.000,18.200,412.509
CGO,47.200,18.700,386.099
E,47.400,19.300,381.361
FNT,48.000,21.000,390.674
FRT,46.200,20.100,456.838
FZR,46.700,17.200,436.784
FIE,46.800,18.100,348.011
G,46.900,19.800,440.094
GA,46.900,19.800,313.295
GCF,47.500,19.400,306.033
L,48.000,21.700,346.855
TWN,42.400,20.400,412.000
IVR,41.900,16.100,405.544
VMQ,41.300,20.800,432.828
CRC,41.300,21.400,297.535
CG,41.900,21.600,295.497
NEQ,46.200,21.100,517.770
OZE,47.700,23.300,404.977
OFR,44.500,26.200,256.939
OFJ,44.500,26.000,521.003
PEF,45.400,22.200,330.192
Q,46.500,24.400,373.910
R,44.300,23.900,343.058
RN,44.300,24.000,417.531
Y,47.800,22.900,331.105
YY,44.600,26.100,659.027
Z,47.700,23.400,266.113
B,47.000,21.900,360.781
BCR,44.600,26.200,349.044
BCJ,44.600,26.000,267.891
BEN,47.100,21.900,418.523
BGY,44.600,26.000,370.342
BGE,44.600,26.200,318.288
EE,44.600,26.100,705.012
FVO,45.800,24.200,381.214
GN,45.800,21.200,378.147
GTZ,46.400,24.300,428.220
GVZ,45.800,21.400,338.932
GFE,45.800,21.300,408.056
NQ,43.800,20.700,387.387
OG,45.000,20.200,420.646
RX,44.900,20.300,420.070
YN,43.900,20.500,360.509
ZY,43.800,20.600,330.334
CM,45.000,20.200,320.071
ON,42.600,21.000,420.036
TB,42.300,19.200,420.015
WN,44.700,20.500,316.544
XA,44.900,20.100,380.006
AF,43.300,21.800,255.044
CEV,42.700,21.000,364.023
EOG,42.500,21.000,399.004
EB,42.400,18.600,332.025
FE,43.900,19.800,420.015
IEA,42.600,21.900,337.632
O,48.200,17.200,438.392
Q,48.200,17.200,429.163
QOI,48.900,18.800,310.989
XR,48.600,21.200,425.025
BO,48.100,17.300,330.003
BXE,48.200,17.300,391.103
CR,49.100,20.400,438.634
CAL,48.600,17.800,297.011
CCQ,49.100,20.400,317.854
CJ,49.100,20.100,418.259
S,48.600,19.100,295.025
ZT,46.200,14.600,296.125
ZV,46.500,15.700,355.027
ZE,46.400,15.800,334.323
FE,48.500,22.500,690.001
HB,48.600,22.300,645.349
IV,48.900,23.000,334.981
